time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss
2881536,7.4,1,1609,-56909.8,1,,,,,,,,,,
2883584,7.14,2,1502,-56911.8,2,2.2322638e-08,14070,0.0,1341486976.0,0.2,2375221753.6,-1.1920928955078125e-07,0.00032,-1.367257907986641,-3.831931971944869e-05
2885632,6.32,3,1467,-58076.1,4,4.042522e-08,14080,0.0,1156447360.0,0.2,2377936038.4,0.0,0.00032,-1.367013692855835,-4.72011452075094e-05
2887680,6.69,4,1449,-53792.6,5,6.586197e-08,14090,0.0,1510952448.0,0.2,2798692089.6,0.0,0.00032,-1.3669491022825242,-5.240592872723937e-05
2889728,7.6,5,1440,-63147.8,7,3.792229e-08,14100,0.0,1052419584.0,0.2,2051956700.8,0.0,0.00032,-1.3669031113386154,-4.999232478439808e-05
2891776,7.57,6,1431,-58472.2,8,5.4831617e-08,14110,0.0,1254952064.0,0.2,2479818585.6,0.0,0.00032,-1.3669322073459624,-4.801080212928355e-05
2893824,7.71,7,1425,-65096.1,10,2.4505425e-08,14120,0.0,1073671040.0,0.2,2180102678.4,0.0,0.00032,-1.3667737066745758,-4.625795409083366e-05
2895872,8.11,8,1423,-65878.7,11,5.410402e-08,14130,0.0,1249754112.0,0.2,2436765024.0,5.960464477539063e-08,0.00032,-1.366756299138069,-5.1283452194184065e-05
2897920,8.15,9,1421,-62370.2,12,6.580376e-08,14140,0.0,1190864768.0,0.2,2552418080.0,1.1920928955078125e-07,0.00032,-1.366701915860176,-5.508064059540629e-05
2899968,7.79,10,1397,-58083.2,14,5.995389e-08,14150,0.0,1178755584.0,0.2,2333441475.2,5.960464477539063e-08,0.00032,-1.3667476981878282,-4.918355552945286e-05
2902016,7.76,11,1342,-60030.1,16,3.0122465e-08,14160,0.0,1374407680.0,0.2,2432680278.4,0.0,0.00032,-1.3664061039686204,-4.4297747081145644e-05
2904064,6.67,12,975,-52234.0,25,6.300979e-08,14170,0.0,1116972928.0,0.2,2273269580.8,0.0,0.00032,-1.3665128380060196,-4.725861945189536e-05
2906112,8.82,13,969,-65490.4,27,5.005859e-08,14180,0.0,1366224384.0,0.2,2742906604.8,1.1920928955078125e-07,0.00032,-1.3665645182132722,-4.5824702829122545e-05
2908160,6.33,14,984,-52623.8,29,5.8702426e-08,14190,0.0,1411748992.0,0.2,2711952262.4,0.0,0.00032,-1.3662453770637513,-5.216877325437963e-05
2910208,6.93,15,889,-55741.5,34,6.2864274e-08,14200,0.0,1185166592.0,0.2,2210780291.2,5.960464477539063e-08,0.00032,-1.3664872586727141,-4.676116805057973e-05
2912256,6.8,16,847,-54961.0,38,6.775372e-08,14210,0.0,1240431872.0,0.2,2513897257.6,0.0,0.00032,-1.366340571641922,-5.2848551422357556e-05
2914304,7.74,17,818,-60810.2,42,7.1828254e-08,14220,0.0,1215073920.0,0.2,2316467251.2,5.960464477539063e-08,0.00032,-1.36639044880867,-5.672972765751183e-05
2916352,6.78,18,837,-56129.6,44,5.9430022e-08,14230,0.0,1326319488.0,0.2,2499090348.8,5.960464477539063e-08,0.00032,-1.3661487311124803,-5.152992089278996e-05
2918400,6.54,19,851,-59638.3,45,3.920286e-08,14240,0.0,966865216.0,0.2,1940565353.6,-1.1920928955078125e-07,0.00032,-1.3662039637565613,-4.906886606477201e-05
2920448,7.61,20,829,-61587.0,49,6.167102e-08,14250,0.0,1337753984.0,0.2,2577998118.4,0.0,0.00032,-1.365955263376236,-4.745456390082836e-05
2922496,8.52,21,772,-61201.9,55,6.4610504e-08,14260,0.0,1213094272.0,0.2,2361550899.2,1.1920928955078125e-07,0.00032,-1.3659484207630157,-5.3099112119525674e-05
2924544,7.69,22,784,-63147.8,57,3.981404e-08,14270,0.0,1295063168.0,0.2,2590534272.0,-1.1920928955078125e-07,0.00032,-1.3656159549951554,-4.874680307693779e-05
2926592,6.33,23,794,-56908.4,59,6.9034286e-08,14280,0.0,1107484416.0,0.2,2283752012.8,0.0,0.00032,-1.3656767755746841,-5.527977482415736e-05
2928640,7.0,24,790,-60418.7,62,5.713082e-08,14290,0.0,1377057536.0,0.2,2635673734.4,1.1920928955078125e-07,0.00032,-1.3655416458845138,-4.634491051547229e-05
2930688,6.1,25,802,-58077.1,63,2.4272595e-08,14300,0.0,1212779648.0,0.2,2443030323.2,-1.1920928955078125e-07,0.00032,-1.3657687872648239,-4.11532586440444e-05
2932736,5.92,26,813,-49891.2,65,6.5076165e-08,14310,0.0,1122082688.0,0.2,2341599264.0,0.0,0.00032,-1.3656037390232085,-5.186013877391815e-05
2934784,6.56,27,814,-53792.2,67,5.782931e-08,14320,0.0,1131031552.0,0.2,2348689180.8,-1.1920928955078125e-07,0.00032,-1.3656789749860763,-4.923210508422926e-05
2936832,6.75,28,810,-60806.4,70,6.603659e-08,14330,0.0,1160401664.0,0.2,2212223062.4,0.0,0.00032,-1.3654866695404053,-5.047906597610563e-05
2938880,7.54,29,822,-61198.0,72,7.1915565e-08,14340,0.0,1322558976.0,0.2,2700908006.4,0.0,0.00032,-1.3653719872236252,-6.252960884012282e-05
2940928,7.33,30,832,-59247.8,73,3.9464794e-08,14350,0.0,1273891968.0,0.2,2564929580.8,0.0,0.00032,-1.3654198706150056,-4.8845395212993026e-05
2942976,6.92,31,816,-54183.5,77,5.8033038e-08,14360,0.0,1277814144.0,0.2,2419272492.8,0.0,0.00032,-1.365340793132782,-4.871956189163029e-05
2945024,6.74,32,798,-52623.3,82,6.6531356e-08,14370,0.0,1078923136.0,0.2,2250519302.4,-1.1920928955078125e-07,0.00032,-1.365200462937355,-5.1275809528306124e-05
2947072,7.35,33,807,-63145.2,83,6.1205355e-08,14380,0.0,1176697856.0,0.2,2288330921.6,0.0,0.00032,-1.3651710778474808,-4.608681774698198e-05
