time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss
759808,8.56,1,1552,-83748.3,1,,,,,,,,,,
761856,10.15,2,1427,-93878.3,2,3.259629e-09,3710,0.0,2435133440.0,0.2,4938538662.4,-1.1920928955078125e-07,0.00032,-1.3852386355400086,-1.9834731938317417e-05
763904,8.65,3,1385,-80242.8,4,1.2223609e-08,3720,0.0,3036764928.0,0.2,5806674214.4,0.0,0.00032,-1.385244795680046,-2.823027898557484e-05
765952,7.99,4,1351,-73229.2,6,9.429641e-09,3730,0.0,2348865792.0,0.2,4990479104.0,0.0,0.00032,-1.385236594080925,-2.4794143973849715e-05
768000,9.24,5,1341,-89980.3,7,3.0559022e-09,3740,0.0,3063976704.0,0.2,5951210406.4,-1.1920928955078125e-07,0.00032,-1.3852297067642212,-1.5423930017277597e-05
770048,8.6,6,1333,-87254.0,9,8.4983185e-09,3750,0.0,3250842624.0,0.2,6161463347.2,1.1920928955078125e-07,0.00032,-1.3852048367261887,-2.0732666598632932e-05
772096,8.07,7,1338,-79851.3,10,1.0448275e-08,3760,0.0,2661935872.0,0.2,5605906060.8,0.0,0.00032,-1.3852086305618285,-2.257124870084226e-05
774144,8.47,8,1335,-77518.9,12,3.3178367e-09,3770,0.0,2768615936.0,0.2,5580437094.4,0.0,0.00032,-1.3852013558149339,-1.7992910579778253e-05
776192,10.33,9,1333,-97780.1,13,1.0244548e-08,3780,0.0,2913260032.0,0.2,5222722675.2,0.0,0.00032,-1.3851986557245255,-2.396106137894094e-05
778240,8.75,10,1324,-98935.2,15,3.8708095e-09,3790,0.0,2770490368.0,0.2,5672658764.8,0.0,0.00032,-1.3851870387792586,-2.1447325707413256e-05
780288,8.64,11,1320,-79077.3,17,4.5401976e-09,3800,0.0,3503414016.0,0.2,6595099750.4,0.0,0.00032,-1.3851736277341842,-2.1439383272081613e-05
