time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss
3033088,7.88,1,1599,-57649.8,1,,,,,,,,,,
3035136,7.75,2,1498,-56095.2,2,3.5797711e-09,14810,0.0,1056646144.0,0.2,2160426896.0,0.0,0.00032,-1.370333757996559,-2.7272780425846576e-05
3037184,8.42,3,1021,-66939.9,6,4.9185473e-09,14820,0.0,1201752832.0,0.2,2385323513.6,0.0,0.00032,-1.370277041196823,-2.917560050264001e-05
3039232,7.49,4,1096,-57646.3,7,4.3946784e-09,14830,0.0,1235459840.0,0.2,2556376832.0,0.0,0.00032,-1.369870701432228,-3.0062737641856076e-05
3041280,6.25,5,1147,-57622.4,8,4.3946784e-09,14840,0.0,1405934080.0,0.2,2669341388.8,-1.1920928955078125e-07,0.00032,-1.3699534058570861,-2.4362263502553105e-05
3043328,8.25,6,1181,-62679.9,10,4.8894435e-09,14850,0.0,1416789888.0,0.2,2956076076.8,-2.384185791015625e-07,0.00032,-1.3698469132184983,-2.8086226666346193e-05
3045376,6.58,7,1067,-54927.0,13,4.1618478e-09,14860,0.0,1282093440.0,0.2,2483365510.4,0.0,0.00032,-1.3700116127729416,-2.9701407765969633e-05
3047424,8.41,8,1101,-59583.6,14,4.132744e-09,14870,0.0,1195596032.0,0.2,2553929267.2,0.0,0.00032,-1.3699143201112747,-2.619178267195821e-05
3049472,8.17,9,1072,-62678.7,17,4.3655746e-09,14880,0.0,1335692544.0,0.2,2613546297.6,1.1920928955078125e-07,0.00032,-1.3699372947216033,-2.6666017947718502e-05
3051520,7.29,10,1098,-56849.0,18,4.452886e-09,14890,0.0,1047476736.0,0.2,2196852230.4,0.0,0.00032,-1.370078718662262,-3.4727127058431506e-05
3053568,7.97,11,1120,-58420.6,20,4.452886e-09,14900,0.0,1235134848.0,0.2,2713987411.2,1.1920928955078125e-07,0.00032,-1.3698321223258971,-3.2169415499083696e-05
3055616,8.09,12,1139,-57274.4,21,6.548362e-09,14910,0.0,1182662400.0,0.2,2589455430.4,0.0,0.00032,-1.3696999460458756,-2.9847625410184264e-05
3057664,8.6,13,1156,-63055.2,23,4.307367e-09,14920,0.0,1091444352.0,0.2,2075336912.0,5.960464477539063e-08,0.00032,-1.3699983209371567,-3.2052435562945904e-05
3059712,7.98,14,1170,-58423.9,24,4.2491592e-09,14930,0.0,1516818560.0,0.2,2769213068.8,0.0,0.00032,-1.3698262393474578,-2.637262659845874e-05
3061760,8.22,15,1133,-62688.9,27,4.48199e-09,14940,0.0,1282641920.0,0.2,2721144486.4,0.0,0.00032,-1.3695474594831467,-2.7278874767944217e-05
3063808,7.78,16,1147,-56105.1,28,6.0535967e-09,14950,0.0,1277961984.0,0.2,2642222361.6,1.7881393432617188e-07,0.00032,-1.3694999784231185,-3.133664140477777e-05
3065856,7.42,17,1160,-54537.8,30,3.5215635e-09,14960,0.0,1037408896.0,0.2,2098956105.6,-1.1920928955078125e-07,0.00032,-1.3696053504943848,-2.9248581267893314e-05
3067904,6.9,18,1171,-55308.8,31,3.9872248e-09,14970,0.0,1419243520.0,0.2,2719388704.0,0.0,0.00032,-1.3696740597486496,-2.209728118032217e-05
3069952,6.95,19,1182,-57242.6,32,3.8417056e-09,14980,0.0,1098308864.0,0.2,2337883436.8,0.0,0.00032,-1.3699280828237534,-2.5226338766515256e-05
3072000,7.08,20,1192,-60741.8,34,3.783498e-09,14990,0.0,1307602560.0,0.2,2484708947.2,0.0,0.00032,-1.369668909907341,-2.4750709417276085e-05
3074048,7.67,21,1164,-56108.0,36,4.5401976e-09,15000,0.0,1372446848.0,0.2,2763994732.8,0.0,0.00032,-1.3694813936948775,-2.768265549093485e-05
3076096,8.04,22,1173,-57264.4,38,4.8894435e-09,15010,0.0,1254017152.0,0.2,2309355372.8,1.1920928955078125e-07,0.00032,-1.3695221483707427,-2.9860017821192742e-05
3078144,8.44,23,1182,-59189.5,39,5.3842086e-09,15020,0.0,1072746880.0,0.2,2240947340.8,-1.1920928955078125e-07,0.00032,-1.3696826219558715,-3.065361524932086e-05
3080192,7.61,24,1190,-62282.3,41,3.6961865e-09,15030,0.0,1110307584.0,0.2,2232527209.6,0.0,0.00032,-1.3695822089910508,-2.7591839898377658e-05
3082240,7.39,25,1197,-57636.9,42,4.5110937e-09,15040,0.0,1369066368.0,0.2,2704103417.6,1.1920928955078125e-07,0.00032,-1.369344449043274,-2.675748837646097e-05
3084288,8.17,26,1204,-61130.1,44,3.7252903e-09,15050,0.0,1052351104.0,0.2,2174632070.4,0.0,0.00032,-1.3695931255817413,-3.052392858080566e-05
3086336,7.18,27,1209,-54559.7,45,4.8603397e-09,15060,0.0,1134195712.0,0.2,2444975814.4,-1.1920928955078125e-07,0.00032,-1.3695372343063354,-2.8630491578951477e-05
3088384,8.03,28,1216,-58433.4,47,4.627509e-09,15070,0.0,1118901120.0,0.2,2189047120.0,0.0,0.00032,-1.3694851398468018,-3.350034821778536e-05
3090432,8.24,29,1220,-58805.9,48,4.2491592e-09,15080,0.0,1151451136.0,0.2,2263393891.2,-1.1920928955078125e-07,0.00032,-1.3694469779729843,-3.166513342875987e-05
3092480,6.71,30,1223,-61108.2,50,4.3364707e-09,15090,0.0,1302888064.0,0.2,2603697657.6,1.1920928955078125e-07,0.00032,-1.3691958338022232,-3.0365027487277985e-05
3094528,7.88,31,1226,-62275.7,51,4.7439244e-09,15100,0.0,1221767808.0,0.2,2715791456.0,-1.1920928955078125e-07,0.00032,-1.3691640466451644,-2.6407529367133976e-05
3096576,7.61,32,1228,-59966.9,53,4.0163286e-09,15110,0.0,1175289216.0,0.2,2346506451.2,0.0,0.00032,-1.3694062650203704,-3.0228272953536363e-05
3098624,8.09,33,1231,-65375.9,54,3.6961865e-09,15120,0.0,1471993472.0,0.2,2912232396.8,0.0,0.00032,-1.3690708726644516,-2.0572106586769222e-05
3100672,6.92,34,1234,-59562.7,56,4.5401976e-09,15130,0.0,1428010752.0,0.2,2916554604.8,0.0,0.00032,-1.369073471426964,-2.3627246264368296e-05
3102720,7.97,35,1238,-60737.4,57,7.014023e-09,15140,0.0,1252625536.0,0.2,2469197184.0,0.0,0.00032,-1.3690307229757308,-3.5125366412103173e-05
