time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss
2048,7.69,1,1537,-69847.7,1,,,,,,,,,,
4096,9.63,2,1286,-79610.0,3,1.0084477e-07,10,0.0,1741357568.0,0.2,3671230592.0,-1.1920928955078125e-07,0.00032,-1.3862933397293091,-0.00010130378650501371
6144,8.04,3,1326,-72971.1,4,6.9325324e-08,20,0.0,2067020544.0,0.2,3984249696.0,2.384185791015625e-07,0.00032,-1.3862926721572877,-8.136901305988431e-05
8192,7.31,4,1348,-68675.3,6,2.1769665e-08,30,0.0,2273053696.0,0.2,4200009753.6,1.7881393432617188e-07,0.00032,-1.386292141675949,-5.2904163021594285e-05
10240,6.64,5,1362,-70620.9,7,6.2282197e-09,40,0.0,1761205504.0,0.2,3649547334.4,6.556510925292969e-07,0.00032,-1.386291828751564,-3.926451900042594e-05
12288,7.81,6,1371,-78429.3,8,7.479684e-09,50,0.0,1907054464.0,0.2,3920970816.0,7.152557373046875e-07,0.00032,-1.386291265487671,-4.04715770855546e-05
14336,9.09,7,1294,-88578.3,11,7.363269e-09,60,0.0,2212592128.0,0.2,4168658995.2,5.960464477539062e-07,0.00032,-1.3862908869981765,-3.340416005812585e-05
16384,7.87,8,1306,-79599.6,12,7.566996e-09,70,0.0,2118240128.0,0.2,4794366348.8,5.960464477539062e-07,0.00032,-1.3862903594970704,-3.1589518766850236e-05
18432,8.25,9,1139,-74922.2,16,3.259629e-09,80,0.0,2546697472.0,0.2,5143835353.6,2.980232238769531e-07,0.00032,-1.386289894580841,-2.8403557371348144e-05
20480,7.55,10,1156,-73358.0,17,4.10364e-09,90,0.0,2372358400.0,0.2,4551356096.0,1.7881393432617188e-07,0.00032,-1.3862895607948302,-2.7086411137133837e-05
22528,9.25,11,1165,-80780.9,19,4.4237822e-09,100,0.0,2274370048.0,0.2,4511417427.2,1.1920928955078125e-07,0.00032,-1.3862891227006913,-2.863279078155756e-05
24576,8.15,12,1173,-78822.9,20,3.5215635e-09,110,0.0,2252140032.0,0.2,4023114387.2,2.384185791015625e-07,0.00032,-1.386288869380951,-2.7047413459513338e-05
26624,8.23,13,1151,-76869.9,23,5.326001e-09,120,0.0,1806508032.0,0.2,3884211820.8,2.980232238769531e-07,0.00032,-1.386288222670555,-3.183738153893501e-05
