time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss
1366016,7.85,1,1592,-72981.5,1,,,,,,,,,,
1368064,7.43,2,1484,-77998.8,2,4.0163286e-09,6670,0.0,1974502912.0,0.2,4079653964.8,5.960464477539063e-08,0.00032,-1.3834678441286088,-2.496954402886331e-05
1370112,8.03,3,1460,-74532.3,4,3.3760443e-09,6680,0.0,1971923072.0,0.2,4021812307.2,-1.1920928955078125e-07,0.00032,-1.3834239363670349,-2.2754142992198468e-05
1372160,8.11,4,1447,-69122.9,5,5.6170393e-09,6690,0.0,1626419712.0,0.2,3329098585.6,5.960464477539063e-08,0.00032,-1.3834782034158706,-2.570408396422863e-05
1374208,7.89,5,1440,-71828.3,7,3.608875e-09,6700,0.0,1610908544.0,0.2,3461087955.2,0.0,0.00032,-1.3834649175405502,-2.166260383091867e-05
1376256,7.44,6,1429,-72593.2,8,3.783498e-09,6710,0.0,1938906752.0,0.2,3992968403.2,-2.384185791015625e-07,0.00032,-1.3834180116653443,-2.3917609360069038e-05
1378304,8.69,7,1334,-74143.5,10,3.5506673e-09,6720,0.0,1763959424.0,0.2,3701450624.0,1.1920928955078125e-07,0.00032,-1.383426159620285,-2.599415020085871e-05
1380352,8.31,8,1342,-68736.2,12,3.0559022e-09,6730,0.0,1758190720.0,0.2,3483097753.6,0.0,0.00032,-1.3834389954805375,-2.3944227723404766e-05
1382400,7.83,9,1350,-64879.9,13,3.3760443e-09,6740,0.0,1982153728.0,0.2,3593739936.0,0.0,0.00032,-1.3834167778491975,-2.4382557603530587e-05
1384448,8.97,10,1355,-74536.2,15,4.5110937e-09,6750,0.0,1696389504.0,0.2,3339059033.6,5.960464477539063e-08,0.00032,-1.3834187805652618,-2.4667326943017543e-05
1386496,8.44,11,1359,-71053.2,16,6.1118044e-09,6760,0.0,1575102464.0,0.2,3447947968.0,-1.1920928955078125e-07,0.00032,-1.383392685651779,-2.7187279192730786e-05
1388544,7.61,12,1327,-67963.2,18,5.84987e-09,6770,0.0,1886860928.0,0.2,3753875584.0,0.0,0.00032,-1.3834096759557724,-2.725443191593513e-05
1390592,8.35,13,1333,-70675.9,19,5.7625584e-09,6780,0.0,1782751360.0,0.2,3469047833.6,0.0,0.00032,-1.3833638578653336,-2.7698272606357933e-05
1392640,8.27,14,1339,-74528.6,21,3.2305252e-09,6790,0.0,1806261632.0,0.2,3632649510.4,0.0,0.00032,-1.383334642648697,-2.3791211424395443e-05
