time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss
2123776,10.27,1,1563,-87858.42,1,,,,,,,,,,
2125824,8.94,2,1417,-86239.94,2,3.783498e-09,10370,0.0,2285969920.0,0.2,5027656883.2,5.960464477539063e-08,0.00032,-1.3775672435760498,-2.363774983678013e-05
2127872,8.01,3,1385,-67702.63,4,2.7939677e-09,10380,0.0,2321327872.0,0.2,4248691040.0,0.0,0.00032,-1.3775807231664658,-1.8221198115497827e-05
2129920,8.18,4,1369,-69719.795,5,2.4738256e-09,10390,0.0,1611539328.0,0.2,3587547641.6,-1.1920928955078125e-07,0.00032,-1.3776141941547393,-1.8748285947367548e-05
2131968,9.41,5,1351,-89059.825,7,2.7066562e-09,10400,0.0,2161789952.0,0.2,4268032076.8,1.7881393432617188e-07,0.00032,-1.3775341391563416,-2.1285092225298284e-05
2134016,9.5,6,1348,-89061.345,9,2.910383e-09,10410,0.0,2189329920.0,0.2,4653625113.6,-1.1920928955078125e-07,0.00032,-1.3774926960468292,-2.0156073151156307e-05
2136064,9.26,7,1355,-82617.325,10,0.0,10420,0.0,2162686720.0,0.2,4385918560.0,1.1920928955078125e-07,0.00032,-1.3773871392011643,-1.7729605315253138e-05
2138112,8.68,8,1362,-76167.235,12,3.1141099e-09,10430,0.0,2008610560.0,0.2,3941704288.0,1.1920928955078125e-07,0.00032,-1.3774272441864013,-2.2210073075257243e-05
2140160,7.56,9,1368,-68511.2,13,5.005859e-09,10440,0.0,2130444928.0,0.2,4047893177.6,0.0,0.00032,-1.3774108022451401,-2.113377267960459e-05
2142208,8.35,10,1372,-80999.625,14,4.598405e-09,10450,0.0,1730617984.0,0.2,3402555507.2,0.0,0.00032,-1.377597850561142,-2.1773789194412528e-05
2144256,9.31,11,1377,-83421.755,16,1.36788e-09,10460,0.0,2121340544.0,0.2,4395223776.0,-1.1920928955078125e-07,0.00032,-1.3772842735052109,-1.8657321925275026e-05
2146304,8.86,12,1379,-78587.035,17,2.73576e-09,10470,0.0,1948683264.0,0.2,3654418931.2,0.0,0.00032,-1.3775310695171357,-1.9606907153502105e-05
