time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss
608256,7.33,1,1589,-72775.0,1,,,,,,,,,,
610304,7.68,2,1420,-74781.1,2,6.6065695e-09,2970,0.0,2293000192.0,0.2,4242998515.2,5.960464477539063e-08,0.00032,-1.3857493460178376,-2.833555918186903e-05
612352,8.04,3,1371,-77180.2,4,3.6379788e-09,2980,0.0,2044334592.0,0.2,4433069139.2,0.0,0.00032,-1.38574039041996,-2.637617290019989e-05
614400,8.35,4,1189,-83176.1,6,5.500624e-09,2990,0.0,1890756224.0,0.2,3941734592.0,5.960464477539063e-08,0.00032,-1.3857344418764115,-3.0436419183388353e-05
616448,8.6,5,1203,-77583.9,8,5.646143e-09,3000,0.0,2088084992.0,0.2,4082236531.2,5.960464477539063e-08,0.00032,-1.3857327729463578,-2.778570633381605e-05
618496,7.77,6,1024,-71180.5,11,3.812602e-09,3010,0.0,2136552576.0,0.2,4016401120.0,5.960464477539063e-08,0.00032,-1.3857364892959594,-2.6794933364726604e-05
620544,8.19,7,1056,-83573.4,13,6.1118044e-09,3020,0.0,2121736704.0,0.2,4248627302.4,0.0,0.00032,-1.3857254773378371,-2.7626380324363707e-05
622592,7.97,8,1079,-71982.5,15,5.7916623e-09,3030,0.0,2289165056.0,0.2,4591339961.6,0.0,0.00032,-1.3857179224491118,-2.962925937026739e-05
624640,8.05,9,1102,-79574.0,16,4.2200554e-09,3040,0.0,2099121664.0,0.2,4135648646.4,0.0,0.00032,-1.385710933804512,-3.0037417309358717e-05
626688,7.93,10,906,-82775.7,22,6.6065695e-09,3050,0.0,2141152768.0,0.2,4392171052.8,0.0,0.00032,-1.3857132464647293,-2.843639813363552e-05
628736,8.46,11,933,-82780.2,24,3.8999133e-09,3060,0.0,2307493376.0,0.2,4593231961.6,0.0,0.00032,-1.385693258047104,-2.9133108910173178e-05
630784,6.79,12,955,-69975.4,25,4.132744e-09,3070,0.0,2292163328.0,0.2,4574432768.0,-1.1920928955078125e-07,0.00032,-1.385696569085121,-2.8488843236118554e-05
632832,7.28,13,976,-66780.1,27,3.6379788e-09,3080,0.0,2266742784.0,0.2,4575875481.6,0.0,0.00032,-1.3856873661279678,-2.5096599711105227e-05
634880,7.03,14,992,-73175.7,28,4.627509e-09,3090,0.0,2064107392.0,0.2,3885943072.0,-1.1920928955078125e-07,0.00032,-1.3856979876756668,-2.7298080385662616e-05
