time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss
153600,11.96,1,1542,-143231.1,1,,,,,,,,,,
155648,10.8,2,1422,-124557.0,2,0.0,750,0.0,6044908032.0,0.2,12807602176.0,0.0,0.00032,-1.386212307214737,-1.055468455888331e-05
157696,10.43,3,1393,-128707.6,4,0.0,760,0.0,5732763136.0,0.2,12106162995.2,-1.1920928955078125e-07,0.00032,-1.386212769150734,-1.4153082156553865e-05
159744,10.1,4,1352,-114596.9,6,0.0,770,0.0,5946867712.0,0.2,11198699648.0,5.960464477539063e-08,0.00032,-1.3862127721309663,-1.5041560982353985e-05
161792,11.71,5,1350,-121235.4,7,0.0,780,0.0,4589537792.0,0.2,9051218995.2,-1.1920928955078125e-07,0.00032,-1.386213481426239,-1.2105435598641633e-05
163840,12.79,6,1345,-143235.4,9,0.0,790,0.0,4430602240.0,0.2,8506588172.8,-1.1920928955078125e-07,0.00032,-1.3862130492925644,-1.4085869770497083e-05
165888,10.05,7,1343,-120407.3,10,0.0,800,0.0,5500528128.0,0.2,10924023628.8,0.0,0.00032,-1.3862099319696426,-9.378191316500306e-06
167936,11.9,8,1342,-134521.6,12,0.0,810,0.0,5391073792.0,0.2,10494330547.2,1.1920928955078125e-07,0.00032,-1.3862102597951889,-1.0148674482479691e-05
169984,10.84,9,1289,-112935.9,14,0.0,820,0.0,5006744576.0,0.2,9796570214.4,-1.1920928955078125e-07,0.00032,-1.3862089425325395,-1.2344308197498322e-05
172032,11.24,10,1294,-129537.6,15,0.0,830,0.0,3733665536.0,0.2,7566668416.0,0.0,0.00032,-1.3862105280160903,-1.1120084673166275e-05
174080,10.13,11,1295,-112106.0,17,0.0,840,0.0,5225693184.0,0.2,9790641932.8,0.0,0.00032,-1.3862091720104217,-9.006768232211471e-06
176128,11.03,12,1064,-126628.5,23,0.0,850,0.0,6435649536.0,0.2,13617655449.6,-1.1920928955078125e-07,0.00032,-1.3862078607082366,-1.2023255112580956e-05
178176,11.27,13,1082,-127047.0,24,0.0,860,0.0,5070361088.0,0.2,9685771379.2,5.960464477539063e-08,0.00032,-1.386207726597786,-1.3295531971380115e-05
180224,12.07,14,1094,-140329.8,26,0.0,870,0.0,4813520384.0,0.2,9797394291.2,0.0,0.00032,-1.3862068414688111,-1.2574810534715653e-05
182272,11.6,15,1105,-142815.7,27,0.0,880,0.0,4907954688.0,0.2,9805225062.4,0.0,0.00032,-1.386206817626953,-1.1622870806604623e-05
