time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss
3184640,7.37,1,1574,-60988.5,1,,,,,,,,,,
3186688,7.25,2,1405,-56787.3,2,4.2200554e-09,15550,0.0,1546807936.0,0.2,2962562009.6,0.0,0.00032,-1.369170320034027,-2.801091759465635e-05
3188736,7.51,3,936,-63095.8,6,6.2864274e-09,15560,0.0,1426276352.0,0.2,2870377977.6,0.0,0.00032,-1.369083109498024,-3.264124679844826e-05
3190784,7.6,4,1022,-70665.4,8,6.315531e-09,15570,0.0,1255972992.0,0.2,2659980966.4,0.0,0.00032,-1.3692952543497086,-3.245460102334619e-05
3192832,8.3,5,1082,-63939.8,9,6.6356733e-09,15580,0.0,1519026176.0,0.2,3173085395.2,0.0,0.00032,-1.369009992480278,-3.630035207606852e-05
3194880,8.32,6,1126,-62258.4,10,3.783498e-09,15590,0.0,1297878272.0,0.2,2635224588.8,0.0,0.00032,-1.3692112952470779,-2.7148117078468202e-05
3196928,7.49,7,1159,-66457.2,12,3.9872248e-09,15600,0.0,1230143872.0,0.2,2486604000.0,-1.1920928955078125e-07,0.00032,-1.3693666279315948,-2.816487685777247e-05
3198976,7.12,8,1185,-60570.2,13,4.831236e-09,15610,0.0,1604393344.0,0.2,3252960172.8,0.0,0.00032,-1.3689502865076064,-3.0201204936020076e-05
3201024,7.26,9,1207,-62672.7,15,3.6379788e-09,15620,0.0,1241171328.0,0.2,2545337472.0,0.0,0.00032,-1.3690915554761887,-2.6201247237622738e-05
3203072,7.36,10,1225,-61413.4,16,4.132744e-09,15630,0.0,1419778304.0,0.2,2816589830.4,0.0,0.00032,-1.3690615147352219,-2.815848565660417e-05
3205120,7.89,11,1138,-66036.7,19,4.3364707e-09,15640,0.0,1496961408.0,0.2,3019266476.8,0.0,0.00032,-1.3688465535640717,-2.8711679624393584e-05
3207168,6.89,12,1157,-61829.3,21,3.8999133e-09,15650,0.0,1307319936.0,0.2,2607899763.2,0.0,0.00032,-1.3688995838165283,-2.7328351279720664e-05
3209216,6.71,13,1172,-61411.6,22,3.9872248e-09,15660,0.0,1284290560.0,0.2,2707870720.0,-1.1920928955078125e-07,0.00032,-1.3687781929969787,-2.901780535466969e-05
3211264,6.76,14,1187,-66036.7,24,4.2200554e-09,15670,0.0,1570306304.0,0.2,3067521401.6,0.0,0.00032,-1.3687519431114197,-2.816276391968131e-05
3213312,8.02,15,1199,-67721.5,25,4.278263e-09,15680,0.0,1413080192.0,0.2,2876899091.2,1.1920928955078125e-07,0.00032,-1.3687917381525039,-2.7292032609693705e-05
3215360,6.54,16,1210,-58044.0,27,4.0163286e-09,15690,0.0,1381366400.0,0.2,2751126515.2,-1.1920928955078125e-07,0.00032,-1.3687653183937072,-2.7338766085449606e-05
3217408,7.35,17,1221,-58044.4,28,4.1618478e-09,15700,0.0,1274367872.0,0.2,2663808012.8,0.0,0.00032,-1.368635642528534,-2.8667057631537318e-05
