time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss
1820672,7.36,1,1590,-62493.7,1,,,,,,,,,,
1822720,7.28,2,1493,-69258.3,2,1.1146767e-08,8890,0.0,1686757632.0,0.2,3351911584.0,1.1920928955078125e-07,0.00032,-1.3778417736291886,-2.5934644509106874e-05
1824768,7.2,3,1462,-66870.8,4,5.296897e-09,8900,0.0,1644313472.0,0.2,3666646092.8,0.0,0.00032,-1.3777463614940644,-2.1425457089208066e-05
1826816,7.31,4,1448,-76019.3,5,1.071021e-08,8910,0.0,1901702784.0,0.2,3735746668.8,0.0,0.00032,-1.3777171283960343,-3.121633490081877e-05
1828864,8.85,5,1439,-77621.8,7,1.2660166e-08,8920,0.0,2001273984.0,0.2,4302587238.4,0.0,0.00032,-1.377578717470169,-3.19939135806635e-05
1830912,7.75,6,1433,-67270.7,8,1.3795216e-08,8930,0.0,1824466048.0,0.2,3655788524.8,5.960464477539063e-08,0.00032,-1.3776278465986251,-3.581569762900472e-05
1832960,7.49,7,1424,-65279.2,10,1.2223609e-08,8940,0.0,1646600576.0,0.2,3154675372.8,0.0,0.00032,-1.377721917629242,-3.544983919709921e-05
1835008,7.77,8,1178,-72442.6,13,1.1554221e-08,8950,0.0,1880738560.0,0.2,3610187801.6,0.0,0.00032,-1.3777012199163436,-2.8430699603632093e-05
1837056,7.97,9,1196,-71247.3,15,1.0913936e-08,8960,0.0,1813128576.0,0.2,3525931513.6,0.0,0.00032,-1.3775942951440812,-3.441227017901838e-05
1839104,7.53,10,1213,-63288.0,16,1.7986167e-08,8970,0.0,1678216704.0,0.2,3372387385.6,-1.1920928955078125e-07,0.00032,-1.377523073554039,-4.180299583822489e-05
1841152,7.48,11,1144,-64483.2,19,1.3358658e-08,8980,0.0,1628320000.0,0.2,3175946016.0,0.0,0.00032,-1.377552366256714,-4.172309272689745e-05
1843200,7.05,12,1155,-69258.4,21,1.3009412e-08,8990,0.0,1732211712.0,0.2,3398391072.0,-1.1920928955078125e-07,0.00032,-1.377436551451683,-3.424561000429094e-05
1845248,8.72,13,1166,-78413.1,22,1.3707904e-08,9000,0.0,1659003392.0,0.2,3499419097.6,-1.1920928955078125e-07,0.00032,-1.3773483872413634,-3.31015617121011e-05
1847296,7.88,14,1175,-73237.7,24,6.0827006e-09,9010,0.0,1680866688.0,0.2,3528897260.8,1.7881393432617188e-07,0.00032,-1.377439910173416,-3.060954622924328e-05
1849344,8.72,15,1184,-72052.0,25,8.934876e-09,9020,0.0,1854337408.0,0.2,3739824832.0,0.0,0.00032,-1.3773425430059434,-2.3747794330120087e-05
1851392,7.72,16,1192,-77212.6,27,1.6356353e-08,9030,0.0,1698681600.0,0.2,3510447392.0,-1.1920928955078125e-07,0.00032,-1.377351114153862,-3.875910479109734e-05
1853440,7.7,17,1198,-66076.7,29,2.9656803e-08,9040,0.0,1790813440.0,0.2,3589339750.4,0.0,0.00032,-1.377303746342659,-5.146711773704737e-05
1855488,7.73,18,1202,-70850.2,30,2.3515895e-08,9050,0.0,1819035904.0,0.2,3364102035.2,0.0,0.00032,-1.377314180135727,-4.586152790579945e-05
1857536,8.06,19,1209,-76022.8,32,1.2048986e-08,9060,0.0,1892830720.0,0.2,3508439737.6,-1.1920928955078125e-07,0.00032,-1.377249002456665,-3.0401695403270425e-05
1859584,7.25,20,1216,-67265.8,33,1.2456439e-08,9070,0.0,1754931456.0,0.2,3616713721.6,1.1920928955078125e-07,0.00032,-1.3772524356842042,-3.1061071786098184e-05
1861632,7.71,21,1223,-75228.6,35,1.0186341e-08,9080,0.0,1676941056.0,0.2,3446498380.8,0.0,0.00032,-1.3772404938936234,-3.725433198269457e-05
1863680,8.26,22,1192,-70455.8,37,9.400537e-09,9090,0.0,2097581952.0,0.2,4293268947.2,0.0,0.00032,-1.3770261645317077,-3.0940765282139185e-05
1865728,7.76,23,1068,-72840.8,44,2.2497261e-08,9100,0.0,1508387072.0,0.2,3039955699.2,1.1920928955078125e-07,0.00032,-1.3772340357303618,-4.211802879581228e-05
1867776,8.59,24,1035,-70856.1,47,1.5366822e-08,9110,0.0,1797444864.0,0.2,3701934918.4,-1.1920928955078125e-07,0.00032,-1.3770439684391023,-3.717118524946272e-05
1869824,8.08,25,985,-74034.4,51,1.2834789e-08,9120,0.0,1761048064.0,0.2,3386817881.6,0.0,0.00032,-1.3770451426506043,-3.335406945552677e-05
1871872,8.31,26,937,-66872.0,56,1.4697434e-08,9130,0.0,1812959744.0,0.2,3548497721.6,-1.1920928955078125e-07,0.00032,-1.3770655304193498,-3.495000419206917e-05
1873920,7.28,27,948,-66470.4,58,1.2805685e-08,9140,0.0,1776183808.0,0.2,3327358412.8,5.960464477539063e-08,0.00032,-1.3770300060510636,-3.506291541270912e-05
1875968,7.7,28,959,-71247.9,59,2.4127075e-08,9150,0.0,1744431744.0,0.2,3351628640.0,0.0,0.00032,-1.3769480347633363,-4.336512356530875e-05
1878016,7.0,29,968,-66075.6,61,1.4930265e-08,9160,0.0,1984133632.0,0.2,3883324454.4,0.0,0.00032,-1.376834785938263,-4.028039984405041e-05
1880064,9.12,30,978,-72048.9,62,1.5017577e-08,9170,0.0,1547522432.0,0.2,3144147052.8,0.0,0.00032,-1.3769432783126831,-4.252569342497736e-05
1882112,8.99,31,925,-69659.4,68,9.284122e-09,9180,0.0,1743151872.0,0.2,3717502707.2,1.1920928955078125e-07,0.00032,-1.3770039319992065,-2.3760469048283994e-05
1884160,8.12,32,914,-70851.2,71,1.2631062e-08,9190,0.0,1752504192.0,0.2,3328152249.6,-1.1920928955078125e-07,0.00032,-1.3769567728042602,-3.917239373549819e-05
1886208,8.4,33,875,-67671.2,77,1.3911631e-08,9200,0.0,1882263808.0,0.2,3961697356.8,1.1920928955078125e-07,0.00032,-1.3767771273851395,-3.384306328371167e-05
1888256,7.56,34,873,-69257.4,79,7.654307e-09,9210,0.0,1640391424.0,0.2,3268540390.4,0.0,0.00032,-1.3768222242593766,-3.101679030805826e-05
1890304,7.81,35,883,-74033.2,81,1.44355e-08,9220,0.0,1683044608.0,0.2,3227477849.6,0.0,0.00032,-1.3766855597496033,-3.7492281990125775e-05
1892352,7.62,36,892,-66873.4,82,1.36788e-08,9230,0.0,1861466368.0,0.2,3821326745.6,-1.1920928955078125e-07,0.00032,-1.3765708595514297,-3.092211263719946e-05
1894400,8.17,37,900,-69259.4,84,2.0983862e-08,9240,0.0,1375627904.0,0.2,2807636032.0,1.1920928955078125e-07,0.00032,-1.3767451822757721,-4.3639447540044785e-05
1896448,8.48,38,909,-78413.6,85,1.580338e-08,9250,0.0,1516299392.0,0.2,3274754854.4,0.0,0.00032,-1.3766956508159638,-3.9097218541428445e-05
1898496,8.66,39,887,-71651.1,89,1.2601959e-08,9260,0.0,2055482112.0,0.2,3675487507.2,0.0,0.00032,-1.3765865862369537,-3.485822817310691e-05
1900544,8.51,40,878,-70853.9,93,1.1030352e-08,9270,0.0,1476826880.0,0.2,3124836761.6,0.0,0.00032,-1.3766919940710067,-3.263154067099094e-05
1902592,9.12,41,886,-80009.9,94,1.2340024e-08,9280,0.0,1508586624.0,0.2,2920336396.8,0.0,0.00032,-1.3766095519065857,-3.6501430440694096e-05
1904640,8.03,42,894,-72048.7,96,1.2165401e-08,9290,0.0,1731550720.0,0.2,3550257536.0,-1.1920928955078125e-07,0.00032,-1.3765405774116517,-3.366615856066346e-05
1906688,8.27,43,901,-68064.7,97,8.1490725e-09,9300,0.0,2421990400.0,0.2,4550741478.4,0.0,0.00032,-1.3764283418655396,-2.3970368783921003e-05
1908736,9.08,44,908,-76824.7,99,7.3050614e-09,9310,0.0,2196787968.0,0.2,3908056038.4,0.0,0.00032,-1.3764866173267365,-2.518678375054151e-05
1910784,7.33,45,915,-63686.4,100,1.0157237e-08,9320,0.0,2015319424.0,0.2,3550123328.0,5.960464477539063e-08,0.00032,-1.3764404118061067,-2.969461493194103e-05
1912832,8.33,46,922,-71647.5,102,1.2165401e-08,9330,0.0,1480782592.0,0.2,3247052556.8,0.0,0.00032,-1.376407516002655,-3.6568299401551484e-05
1914880,7.29,47,928,-64477.7,103,8.556526e-09,9340,0.0,1578531840.0,0.2,3142131878.4,-1.1920928955078125e-07,0.00032,-1.3763076782226562,-3.285340790171176e-05
1916928,8.37,48,935,-78810.9,105,1.0302756e-08,9350,0.0,1795946112.0,0.2,3730052550.4,-1.1920928955078125e-07,0.00032,-1.3763926923274994,-3.261807723902166e-05
1918976,7.66,49,941,-66475.1,106,1.132139e-08,9360,0.0,1882065536.0,0.2,3891079366.4,-1.1920928955078125e-07,0.00032,-1.376163911819458,-3.476401252555661e-05
1921024,8.16,50,947,-65283.6,108,2.1304004e-08,9370,0.0,1850436480.0,0.2,3385073849.6,0.0,0.00032,-1.3763462752103806,-4.005871014669538e-05
1923072,7.72,51,953,-73235.5,109,1.2427336e-08,9380,0.0,1227586176.0,0.2,2756185478.4,5.960464477539063e-08,0.00032,-1.3763520181179048,-3.48611909430474e-05
1925120,7.39,52,959,-66076.6,111,1.2427336e-08,9390,0.0,2059285760.0,0.2,3804573036.8,0.0,0.00032,-1.37613587975502,-3.706571587827057e-05
1927168,8.1,53,964,-76421.9,112,1.4493708e-08,9400,0.0,1837623680.0,0.2,3805465664.0,-1.1920928955078125e-07,0.00032,-1.3761223793029784,-3.1000302988104524e-05
1929216,8.39,54,970,-69262.4,113,1.5221303e-08,9410,0.0,1790525696.0,0.2,3475894291.2,5.960464477539063e-08,0.00032,-1.3760391294956207,-3.614105517044663e-05
1931264,7.79,55,975,-65677.6,115,1.3154931e-08,9420,0.0,1605158016.0,0.2,3237892992.0,0.0,0.00032,-1.376079225540161,-3.2048881985247134e-05
1933312,7.38,56,981,-66472.3,116,1.2572855e-08,9430,0.0,1528588544.0,0.2,3220439174.4,5.960464477539063e-08,0.00032,-1.3760726034641266,-3.152157296426594e-05
1935360,7.0,57,986,-60899.8,118,1.4959369e-08,9440,0.0,1582185088.0,0.2,3309969043.2,5.960464477539063e-08,0.00032,-1.375924763083458,-3.9506290340796114e-05
1937408,7.79,58,991,-64486.2,119,1.4901161e-08,9450,0.0,1550169600.0,0.2,3167489305.6,5.960464477539063e-08,0.00032,-1.3760663479566575,-3.755983925657347e-05
1939456,7.81,59,996,-74035.7,121,1.6210834e-08,9460,0.0,1660358656.0,0.2,3197447507.2,0.0,0.00032,-1.37600035071373,-4.191070911474526e-05
1941504,7.81,60,1001,-66871.5,122,2.20316e-08,9470,0.0,1812253568.0,0.2,3325200134.4,0.0,0.00032,-1.3757717102766036,-4.440416523721069e-05
1943552,7.57,61,1005,-66472.7,124,5.4424163e-09,9480,0.0,1930487424.0,0.2,4180907532.8,0.0,0.00032,-1.3759069204330445,-2.42976238951087e-05
1945600,8.12,62,1001,-70456.1,126,1.3795216e-08,9490,0.0,1432497792.0,0.2,3086161305.6,0.0,0.00032,-1.375817385315895,-3.9508601184934376e-05
1947648,7.79,63,966,-68861.5,133,1.3358658e-08,9500,0.0,1524624640.0,0.2,2723678118.4,-1.1920928955078125e-07,0.00032,-1.375820204615593,-3.4914532443508504e-05
1949696,8.59,64,954,-68466.8,137,1.2892997e-08,9510,0.0,2008633600.0,0.2,3972091878.4,0.0,0.00032,-1.3756825923919678,-3.402282891329378e-05
1951744,8.26,65,959,-66873.7,138,9.924406e-09,9520,0.0,1739249920.0,0.2,3653090656.0,0.0,0.00032,-1.3757429748773575,-2.46977258939296e-05
1953792,7.76,66,963,-72442.2,140,6.7811925e-09,9530,0.0,1453825408.0,0.2,3014572896.0,-1.1920928955078125e-07,0.00032,-1.375819158554077,-3.439956053625792e-05
1955840,7.43,67,958,-69258.5,143,1.9237632e-08,9540,0.0,1821416960.0,0.2,3543019091.2,0.0,0.00032,-1.3756810575723648,-4.4588494347408414e-05
1957888,8.99,68,962,-76821.0,144,1.4726538e-08,9550,0.0,1730716672.0,0.2,3457247763.2,5.960464477539063e-08,0.00032,-1.3756703287363052,-3.9549509529024364e-05
1959936,8.37,69,966,-74833.4,146,1.3940735e-08,9560,0.0,1739101184.0,0.2,3562304902.4,-1.1920928955078125e-07,0.00032,-1.37570059299469,-3.5479632788337764e-05
1961984,7.68,70,970,-69259.4,147,1.504668e-08,9570,0.0,1580344960.0,0.2,3287180716.8,5.960464477539063e-08,0.00032,-1.3755497872829436,-3.492526011541486e-05
1964032,8.19,71,958,-71248.8,151,1.4173565e-08,9580,0.0,1677544704.0,0.2,3204224121.6,0.0,0.00032,-1.3755356669425964,-3.621118376031518e-05
