time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss
3336192,8.64,1,1627,-69530.3,1,,,,,,,,,,
3338240,8.7,2,1513,-72690.5,2,4.598405e-09,16290,0.0,1815611392.0,0.2,3356167552.0,5.960464477539063e-08,0.00032,-1.3666215002536775,-2.523164148442447e-05
3340288,7.44,3,1465,-61633.6,4,5.7916623e-09,16300,0.0,1404293888.0,0.2,3060398432.0,-1.1920928955078125e-07,0.00032,-1.3665058195590973,-2.9334472492337228e-05
3342336,7.06,4,1451,-62416.2,5,3.9872248e-09,16310,0.0,1392297088.0,0.2,2699180832.0,-1.1920928955078125e-07,0.00032,-1.3664481699466706,-2.4219625629484653e-05
3344384,8.75,5,1383,-78223.0,7,4.3364707e-09,16320,0.0,1675612544.0,0.2,3020785939.2,5.960464477539063e-08,0.00032,-1.3664021968841553,-2.303405199199915e-05
3346432,8.42,6,1339,-69132.8,9,3.5215635e-09,16330,0.0,1515066880.0,0.2,3060424083.2,0.0,0.00032,-1.366320076584816,-2.559007261879742e-05
3348480,9.03,7,1348,-70717.8,10,4.0163286e-09,16340,0.0,1283493760.0,0.2,2587790848.0,1.1920928955078125e-07,0.00032,-1.3666747242212296,-2.4154342827387155e-05
3350528,8.02,8,1355,-67161.8,12,4.0745363e-09,16350,0.0,1263293568.0,0.2,2587611641.6,0.0,0.00032,-1.3664895474910737,-2.6305126084480435e-05
3352576,9.03,9,1362,-69926.9,13,4.0454324e-09,16360,0.0,1599075456.0,0.2,3036851475.2,-1.1920928955078125e-07,0.00032,-1.3661190629005433,-2.5119457859545946e-05
3354624,7.74,10,1366,-62812.4,14,4.0454324e-09,16370,0.0,1331098240.0,0.2,2885904505.6,0.0,0.00032,-1.366579493880272,-2.4969491641968487e-05
3356672,8.08,11,1370,-69530.7,16,4.3655746e-09,16380,0.0,1416836864.0,0.2,2872049836.8,-2.384185791015625e-07,0.00032,-1.3663690984249115,-2.6869290741160513e-05
3358720,8.16,12,1259,-71901.5,19,2.0081643e-09,16390,0.0,1546121088.0,0.2,3183957184.0,0.0,0.00032,-1.3663607478141784,-1.8678788910619916e-05
