time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss
1972224,7.48,1,1627,-65086.0,1,,,,,,,,,,
1974272,7.51,2,1512,-73371.5,2,5.296897e-09,9630,0.0,1537070336.0,0.2,3421209036.8,0.0,0.00032,-1.3802257299423217,-2.626742934808135e-05
1976320,8.0,3,1476,-65093.6,4,5.9080776e-09,9640,0.0,1870740992.0,0.2,3684402732.8,0.0,0.00032,-1.380169042944908,-2.7488666819408537e-05
1978368,7.23,4,1461,-72182.6,5,2.8812792e-09,9650,0.0,1681809408.0,0.2,3317785049.6,-1.1920928955078125e-07,0.00032,-1.3802055656909942,-2.659294113982469e-05
1980416,7.05,5,1364,-65485.6,7,3.434252e-09,9660,0.0,1913685120.0,0.2,3832938380.8,5.960464477539063e-08,0.00032,-1.3800655901432037,-2.778802008833736e-05
1982464,7.25,6,1371,-61538.7,8,6.4610504e-09,9670,0.0,2124960640.0,0.2,4077959193.6,-1.1920928955078125e-07,0.00032,-1.3801605492830276,-2.6813335716724394e-05
1984512,8.31,7,1367,-66279.1,10,4.976755e-09,9680,0.0,1350705280.0,0.2,2901155264.0,0.0,0.00032,-1.3802402198314667,-2.6514002820476888e-05
1986560,7.93,8,1371,-59970.0,11,3.1141099e-09,9690,0.0,1436769024.0,0.2,2966763353.6,1.1920928955078125e-07,0.00032,-1.3801884710788728,-2.719865879043937e-05
1988608,7.54,9,1377,-63905.4,13,4.5401976e-09,9700,0.0,1232918528.0,0.2,2624455251.2,0.0,0.00032,-1.3801898270845414,-2.5215069763362406e-05
1990656,7.13,10,1354,-59562.6,15,5.2095857e-09,9710,0.0,1403439360.0,0.2,2816159820.8,0.0,0.00032,-1.3801206648349762,-2.9488420113921166e-05
1992704,7.56,11,1243,-62725.1,18,5.296897e-09,9720,0.0,1479507072.0,0.2,2991279014.4,0.0,0.00032,-1.3800615042448043,-2.7304518152959644e-05
1994752,8.2,12,1080,-65497.0,22,4.947651e-09,9730,0.0,1544454272.0,0.2,3013017612.8,0.0,0.00032,-1.38011115193367,-2.5940261548385023e-05
1996800,7.01,13,1099,-60353.8,24,4.3364707e-09,9740,0.0,1465096448.0,0.2,3035453728.0,0.0,0.00032,-1.38009632229805,-2.6650019572116433e-05
1998848,7.82,14,1116,-73378.6,25,2.910383e-09,9750,0.0,1337474432.0,0.2,2839429561.6,0.0,0.00032,-1.3800748944282533,-2.596137928776443e-05
2000896,7.28,15,1132,-61934.2,27,5.151378e-09,9760,0.0,1648797824.0,0.2,3301126912.0,1.1920928955078125e-07,0.00032,-1.3800416439771652,-2.674859861144796e-05
2002944,7.92,16,1146,-66276.0,28,2.7066562e-09,9770,0.0,1486914304.0,0.2,3040276774.4,-1.1920928955078125e-07,0.00032,-1.3800601661205292,-2.218743320554495e-05
2004992,6.88,17,1159,-57202.4,30,3.8999133e-09,9780,0.0,1778219392.0,0.2,3493549299.2,-1.1920928955078125e-07,0.00032,-1.3799569308757782,-2.0811628201045095e-05
2007040,7.88,18,1170,-62331.5,31,4.656613e-09,9790,0.0,1297824000.0,0.2,2656458636.8,0.0,0.00032,-1.3800790727138519,-2.4753322941251098e-05
2009088,6.91,19,1181,-62722.0,32,5.180482e-09,9800,0.0,1292821888.0,0.2,2780507136.0,0.0,0.00032,-1.380045446753502,-3.150786506012082e-05
2011136,7.35,20,1191,-63909.7,34,5.296897e-09,9810,0.0,1729075712.0,0.2,3203969420.8,0.0,0.00032,-1.3799748986959457,-2.6985889417119324e-05
2013184,8.39,21,1200,-74954.0,35,2.0372681e-09,9820,0.0,1817109248.0,0.2,3807833126.4,0.0,0.00032,-1.3799046009778977,-1.6626244178041816e-05
2015232,8.29,22,1208,-64699.3,37,3.2014214e-09,9830,0.0,1479065728.0,0.2,3194950649.6,0.0,0.00032,-1.3798411935567856,-2.637176075950265e-05
2017280,7.22,23,1216,-67449.5,38,5.0349627e-09,9840,0.0,1375160704.0,0.2,2800468614.4,-1.1920928955078125e-07,0.00032,-1.3800245106220246,-2.8182470123283566e-05
2019328,7.95,24,1221,-67851.3,40,5.675247e-09,9850,0.0,1728927488.0,0.2,3167950374.4,0.0,0.00032,-1.37983478307724,-2.9870981234125792e-05
2021376,7.39,25,1197,-65090.1,42,5.2386895e-09,9860,0.0,1501007744.0,0.2,3133425036.8,5.960464477539063e-08,0.00032,-1.379888567328453,-2.7504208264872432e-05
2023424,7.48,26,1164,-62725.8,45,5.2677933e-09,9870,0.0,1413385216.0,0.2,2843701376.0,0.0,0.00032,-1.379754865169525,-2.7434201911091805e-05
2025472,7.89,27,1148,-73772.8,48,5.180482e-09,9880,0.0,1586421632.0,0.2,3168931424.0,1.7881393432617188e-07,0.00032,-1.3798220992088317,-2.7716264594346284e-05
2027520,7.59,28,1156,-69821.6,49,5.84987e-09,9890,0.0,1666876928.0,0.2,3276104992.0,0.0,0.00032,-1.3797956228256225,-3.0589883681386707e-05
2029568,7.31,29,1163,-67848.1,51,5.2677933e-09,9900,0.0,1562862848.0,0.2,3197268224.0,0.0,0.00032,-1.379853793978691,-2.6229314971715213e-05
2031616,8.25,30,1170,-63914.0,52,4.3946784e-09,9910,0.0,1561641216.0,0.2,3101865388.8,0.0,0.00032,-1.3798357039690017,-3.1967711402103304e-05
2033664,6.21,31,1176,-57981.8,53,4.5110937e-09,9920,0.0,1341867264.0,0.2,2836286784.0,0.0,0.00032,-1.3797613829374313,-2.8696609660983086e-05
2035712,7.06,32,1182,-60353.1,55,5.122274e-09,9930,0.0,1594944768.0,0.2,3048254784.0,0.0,0.00032,-1.3798230350017548,-2.790649305097759e-05
2037760,6.48,33,1169,-63503.0,57,5.646143e-09,9940,0.0,1551183360.0,0.2,3303810528.0,5.960464477539063e-08,0.00032,-1.3796978443861008,-2.7730042347684503e-05
2039808,7.19,34,1169,-63510.0,59,5.2095857e-09,9950,0.0,1576717184.0,0.2,3119166438.4,0.0,0.00032,-1.3798110753297805,-2.6449111464899035e-05
2041856,7.89,35,1157,-65488.6,61,5.005859e-09,9960,0.0,1520212992.0,0.2,2829072710.4,-1.1920928955078125e-07,0.00032,-1.3798428803682328,-2.858019433915615e-05
2043904,7.91,36,1161,-68638.4,63,5.0349627e-09,9970,0.0,1502445056.0,0.2,3044925427.2,0.0,0.00032,-1.3797708243131637,-2.6027177227661014e-05
2045952,6.75,37,1163,-62319.2,65,5.5588316e-09,9980,0.0,1670374272.0,0.2,3227072102.4,-1.1920928955078125e-07,0.00032,-1.3797160625457763,-2.7463168953545393e-05
2048000,7.05,38,1158,-61537.1,67,5.646143e-09,9990,0.0,1658832256.0,0.2,3297267955.2,0.0,0.00032,-1.3796501457691193,-2.9878952773287892e-05
2050048,8.16,39,1162,-73377.4,68,5.0349627e-09,10000,0.0,1479547008.0,0.2,2812476620.8,0.0,0.00032,-1.3797500997781753,-3.0997366411611435e-05
2052096,7.85,40,1164,-63126.9,70,5.9080776e-09,10010,0.0,1578894592.0,0.2,3445828051.2,0.0,0.00032,-1.3795947849750518,-3.080306341871619e-05
2054144,7.91,41,1167,-70217.1,71,5.2095857e-09,10020,0.0,1539138304.0,0.2,3125799948.8,0.0,0.00032,-1.3796621769666673,-2.625900087878108e-05
2056192,8.31,42,1170,-66278.9,73,5.2386895e-09,10030,0.0,1568518144.0,0.2,3267178700.8,0.0,0.00032,-1.3796865403652192,-2.514438529033214e-05
2058240,7.41,43,1172,-65876.2,75,4.0163286e-09,10040,0.0,1622741504.0,0.2,3135047244.8,-1.1920928955078125e-07,0.00032,-1.3795772671699524,-2.4334294721484184e-05
2060288,7.98,44,1175,-66670.8,76,3.8999133e-09,10050,0.0,1399739904.0,0.2,2964799232.0,0.0,0.00032,-1.3796822607517243,-2.6063487166538834e-05
2062336,7.72,45,1139,-64305.6,80,4.48199e-09,10060,0.0,1706731008.0,0.2,3369753062.4,5.960464477539063e-08,0.00032,-1.3795827686786652,-2.9114866629242896e-05
2064384,8.27,46,1141,-67466.8,82,4.831236e-09,10070,0.0,1489105920.0,0.2,2896084313.6,1.1920928955078125e-07,0.00032,-1.3796459048986436,-2.5725190062075855e-05
